doc_id,file_name,doc_type,publication_date,source,source_url,is_official_course_material,notes
cs_syllabus_for_568,CS Syllabus for 568.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\CS Syllabus for 568.pdf
"cs4501_001__privacy_in_the_internet_age,_fall_2021_1","CS4501-001_ Privacy in the Internet Age, Fall 2021_1.pdf",course syllabus,,SyllabusQA,,unknown,"copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\CS4501-001_ Privacy in the Internet Age, Fall 2021_1.pdf"
cs466_sp21_info_redacted,cs466_sp21_info_redacted.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\cs466_sp21_info_redacted.pdf
eme6651_sp2023_syllabus,EME6651-SP2023_Syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\EME6651-SP2023_Syllabus.pdf
eng_204_syllabus_fa_2021,ENG 204 syllabus_FA 2021.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\ENG 204 syllabus_FA 2021.pdf
fin_408_syllabus_updated_v2,FIN 408 Syllabus updated v2.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\FIN 408 Syllabus updated v2.pdf
fs542_food_chem2,FS542_food chem2.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\FS542_food chem2.pdf
geog468668syllabusgis_2023,GEOG468668syllabusGIS_2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\GEOG468668syllabusGIS_2023.pdf
honors_391ah___aa_media_pop_culture___fall_2022_syllabus,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus.pdf
journal_310_(international_journalism)_syllabus___2022_spring,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.pdf
l0,L0.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\L0.pdf
legal_297bl_syllabus,Legal 297BL Syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Legal 297BL Syllabus.pdf
mgmnt_462__syllabus___spring_2023,MGMNT 462_ Syllabus - Spring 2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\MGMNT 462_ Syllabus - Spring 2023.pdf
mie_302_spring_2022_syllabus_v1,MIE 302 Spring 2022 Syllabus-v1.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\MIE 302 Spring 2022 Syllabus-v1.pdf
mie_380_syllabus_f22,MIE 380 syllabus F22.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\MIE 380 syllabus F22.pdf
mktg_497g_customer_insight_syllabus_s2023,MKTG 497G Customer Insight Syllabus S2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\MKTG 497G Customer Insight Syllabus S2023.pdf
most_recent_p132_syllabus___spring_2022,Most Recent P132 Syllabus - Spring 2022.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Most Recent P132 Syllabus - Spring 2022.pdf
music_ed_500ku_syllabus_s23,MUSIC-ED 500KU Syllabus S23.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\MUSIC-ED 500KU Syllabus S23.pdf
num_analysis_redacted,num_analysis_redacted.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\num_analysis_redacted.pdf
nutr_130h_syllabus_2021fall,Nutr_130H_Syllabus_2021Fall.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Nutr_130H_Syllabus_2021Fall.pdf
ph224_syllabus_spring23,PH224_Syllabus_Spring23.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\PH224_Syllabus_Spring23.pdf
psych_397d_syllabus_spring_2023,PSYCH 397D syllabus Spring 2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\PSYCH 397D syllabus Spring 2023.pdf
resecon_213_fall_2022,ResEcon-213-Fall-2022.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\ResEcon-213-Fall-2022.pdf
sch_mgmt_652_syllabus___fully_online,Sch Mgmt 652 Syllabus - Fully OnLine.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Sch Mgmt 652 Syllabus - Fully OnLine.pdf
soc795e,soc795E.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\soc795E.pdf
spring_2022_sch_mgmt_697ds_data_science_for_business_syllabus,Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus.pdf
stat_111_syl_spring_2023,stat-111-syl-spring 2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\stat-111-syl-spring 2023.pdf
syllabus_bio_544_lecture_s23,Syllabus Bio 544 lecture S23.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus Bio 544 lecture S23.pdf
syllabus_chem111_fa22,Syllabus Chem111-Fa22.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus Chem111-Fa22.pdf
syllabus_spp_697_pm_2023_(clean),Syllabus SPP 697 PM 2023 (clean).pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus SPP 697 PM 2023 (clean).pdf
syllabus_2,syllabus-2.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\syllabus-2.pdf
syllabus_549,Syllabus-549.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus-549.pdf
syllabus_resec213_2023spring_yp,syllabus-RESEC213-2023spring-yp.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\syllabus-RESEC213-2023spring-yp.pdf
syllabus._multivariable_calculus,Syllabus. Multivariable Calculus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus. Multivariable Calculus.pdf
syllabus.astron101.summer2023,Syllabus.Astron101.summer2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus.Astron101.summer2023.pdf
syllabus_209h_230301,Syllabus_209H_230301.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus_209H_230301.pdf
syllabus_606,syllabus_606.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\syllabus_606.pdf
syllabus_biology497g_biology697g_fa22,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus_BIOLOGY497G_BIOLOGY697G_FA22.pdf
syllabus_fall2022_revised2,syllabus_fall2022-revised2.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\syllabus_fall2022-revised2.pdf
syllabus_grounding_s_2023,Syllabus_Grounding_S_2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus_Grounding_S_2023.pdf
syllabus_introgis_fall2022,Syllabus_IntroGIS_Fall2022.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus_IntroGIS_Fall2022.pdf
syllabus_ise4100_au22_v3_redacted,Syllabus_ISE4100_Au22_v3_redacted.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus_ISE4100_Au22_v3_redacted.pdf
syllabus_marine_microbiome_2022_redacted,Syllabus_Marine_Microbiome_2022_redacted.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus_Marine_Microbiome_2022_redacted.pdf
syllabus_spmgt461_dataanalytics,Syllabus_Spmgt461_DataAnalytics.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Syllabus_Spmgt461_DataAnalytics.pdf
teaching_math_in_elementary_school_2_proposed_syllabus,Teaching Math in Elementary School 2 Proposed Syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Teaching Math in Elementary School 2 Proposed Syllabus.pdf
umass_math3312023,UMASS-Math3312023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\UMASS-Math3312023.pdf
vsyllabus_2022,vsyllabus 2022.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\vsyllabus 2022.pdf
web_syllabus_4670,web_syllabus_4670.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\web_syllabus_4670.pdf
1._syllabus_2023,1. Syllabus 2023.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\1. Syllabus 2023.txt
101_f22_syll,101-f22-syll.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\101-f22-syll.txt
130_syllabus_2_s_2023,130 syllabus_2 S 2023.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\130 syllabus_2 S 2023.txt
151_syllabus_fall_2022_rounds,151 syllabus fall 2022 Rounds.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\151 syllabus fall 2022 Rounds.txt
2023_chem122_syllabus,2023_Chem122_syllabus.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\2023_Chem122_syllabus.txt
270_syllabus_fall_2022_(1),270 Syllabus Fall 2022 (1).txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\270 Syllabus Fall 2022 (1).txt
315_lab_syllabus_22_01_11,315 Lab Syllabus 22-01-11.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\315 Lab Syllabus 22-01-11.txt
796_syllabus,796 Syllabus.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\796 Syllabus.txt
acct_371_syllabus___spring,Acct 371 Syllabus - Spring.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Acct 371 Syllabus - Spring.txt
advanced_system_software_design_redacted,advanced_system_software_design_redacted.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\advanced_system_software_design_redacted.txt
animlsci581_syllabus_v4,Animlsci581 Syllabus-v4.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Animlsci581 Syllabus-v4.txt
bch8016_solid_state_analysis_(syl)_012219___revised,BCH8016 Solid State Analysis (SYL) 012219 - revised.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\BCH8016 Solid State Analysis (SYL) 012219 - revised.txt
bdes_syllabus_2021_v1rsb,BDES-Syllabus-2021-v1rsb.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\BDES-Syllabus-2021-v1rsb.txt
biochem_320_syllabus_sp23_2_feb_2023,BIOCHEM 320 Syllabus SP23 2 Feb 2023.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\BIOCHEM 320 Syllabus SP23 2 Feb 2023.txt
biol582_2022_syllabus,Biol582_2022_Syllabus.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Biol582_2022_Syllabus.txt
cs_syllabus_for_568,CS Syllabus for 568.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\CS Syllabus for 568.txt
"cs4501_001__privacy_in_the_internet_age,_fall_2021_1","CS4501-001_ Privacy in the Internet Age, Fall 2021_1.txt",course syllabus,,SyllabusQA,,unknown,"copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\CS4501-001_ Privacy in the Internet Age, Fall 2021_1.txt"
cs466_sp21_info_redacted,cs466_sp21_info_redacted.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\cs466_sp21_info_redacted.txt
eme6651_sp2023_syllabus,EME6651-SP2023_Syllabus.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\EME6651-SP2023_Syllabus.txt
eng_204_syllabus_fa_2021,ENG 204 syllabus_FA 2021.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\ENG 204 syllabus_FA 2021.txt
fin_408_syllabus_updated_v2,FIN 408 Syllabus updated v2.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\FIN 408 Syllabus updated v2.txt
fs542_food_chem2,FS542_food chem2.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\FS542_food chem2.txt
geog468668syllabusgis_2023,GEOG468668syllabusGIS_2023.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\GEOG468668syllabusGIS_2023.txt
honors_391ah___aa_media_pop_culture___fall_2022_syllabus,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus.txt
journal_310_(international_journalism)_syllabus___2022_spring,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt
l0,L0.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\L0.txt
legal_297bl_syllabus,Legal 297BL Syllabus.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Legal 297BL Syllabus.txt
mgmnt_462__syllabus___spring_2023,MGMNT 462_ Syllabus - Spring 2023.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\MGMNT 462_ Syllabus - Spring 2023.txt
mie_302_spring_2022_syllabus_v1,MIE 302 Spring 2022 Syllabus-v1.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\MIE 302 Spring 2022 Syllabus-v1.txt
mie_380_syllabus_f22,MIE 380 syllabus F22.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\MIE 380 syllabus F22.txt
mktg_497g_customer_insight_syllabus_s2023,MKTG 497G Customer Insight Syllabus S2023.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\MKTG 497G Customer Insight Syllabus S2023.txt
most_recent_p132_syllabus___spring_2022,Most Recent P132 Syllabus - Spring 2022.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Most Recent P132 Syllabus - Spring 2022.txt
music_ed_500ku_syllabus_s23,MUSIC-ED 500KU Syllabus S23.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\MUSIC-ED 500KU Syllabus S23.txt
num_analysis_redacted,num_analysis_redacted.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\num_analysis_redacted.txt
nutr_130h_syllabus_2021fall,Nutr_130H_Syllabus_2021Fall.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Nutr_130H_Syllabus_2021Fall.txt
ph224_syllabus_spring23,PH224_Syllabus_Spring23.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\PH224_Syllabus_Spring23.txt
psych_397d_syllabus_spring_2023,PSYCH 397D syllabus Spring 2023.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\PSYCH 397D syllabus Spring 2023.txt
resecon_213_fall_2022,ResEcon-213-Fall-2022.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\ResEcon-213-Fall-2022.txt
sch_mgmt_652_syllabus___fully_online,Sch Mgmt 652 Syllabus - Fully OnLine.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Sch Mgmt 652 Syllabus - Fully OnLine.txt
soc795e,soc795E.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\soc795E.txt
spring_2022_sch_mgmt_697ds_data_science_for_business_syllabus,Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\text\Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus.txt
